total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
373,1,1,0,0,0,1.0,0,1.0,3,11.333333333333334,7,16.285714285714285
374,1,1,0,0,0,0.0,1,0.0,3,12.333333333333334,7,17.285714285714285
375,1,1,0,0,1,0.0,1,1.0,3,13.333333333333334,8,18.285714285714285
376,0,0,1,1,0,1.0,0,1.0,3,14.333333333333334,9,17.0
377,0,0,1,1,0,0.0,1,0.0,2,15.333333333333334,8,16.11111111111111
378,0,0,1,1,0,0.0,1,1.0,1,10.5,7,14.875
379,0,0,1,1,1,0.0,2,2.0,0,9.0,6,13.857142857142858
380,0,0,1,1,2,1.0,2,2.0,0,0.0,5,12.833333333333334
381,0,0,1,1,3,1.5,2,3.0,0,0.0,5,11.2
382,0,0,1,1,3,2.0,2,4.0,1,0.0,4,7.8
