timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
8995,0,0,1,1,2,2,0,0,7.5,7.5,0.0,0.0
8996,0,0,1,1,2,2,0,0,8.5,8.5,0.0,0.0
8997,0,0,1,1,2,2,0,0,9.5,9.5,0.0,0.0
8998,0,0,1,1,2,2,0,0,10.5,10.5,0.0,0.0
8999,0,0,1,1,2,2,0,0,11.5,11.5,0.0,0.0
9000,0,0,1,1,3,3,0,0,8.333333333333334,8.333333333333334,0.0,0.0
9001,0,0,1,1,4,4,0,0,7.0,7.0,0.0,0.0
9002,1,1,0,0,5,5,0,0,6.4,6.4,0.0,0.0
9003,1,1,0,0,4,4,0,0,4.0,4.0,0.0,0.0
9004,1,1,0,0,3,3,0,0,3.0,3.0,0.0,0.0
9005,1,1,0,0,2,2,0,0,3.5,3.5,0.0,0.0
9006,1,1,0,0,2,2,1,1,2.0,2.0,0.0,0.0
9007,1,1,0,0,1,1,1,1,1.0,1.0,1.0,1.0
9008,1,1,0,0,0,0,1,1,0.0,0.0,2.0,2.0
9009,1,1,0,0,0,0,1,1,0.0,0.0,3.0,3.0
9010,1,1,0,0,0,0,1,1,0.0,0.0,4.0,4.0
9011,1,1,0,0,0,0,2,2,0.0,0.0,2.5,2.5
9012,1,1,0,0,0,0,2,2,0.0,0.0,3.5,3.5
9013,1,1,0,0,0,0,2,2,0.0,0.0,4.5,4.5
9014,1,1,0,0,0,0,2,2,0.0,0.0,5.5,5.5
9015,1,1,0,0,0,0,2,2,0.0,0.0,6.5,6.5
9016,1,1,0,0,0,0,2,2,0.0,0.0,7.5,7.5
9017,1,1,0,0,0,0,2,2,0.0,0.0,8.5,8.5
9018,1,1,0,0,0,0,2,2,0.0,0.0,9.5,9.5
9019,1,1,0,0,0,0,2,2,0.0,0.0,10.5,10.5
9020,1,1,0,0,0,0,2,2,0.0,0.0,11.5,11.5
9021,1,1,0,0,0,0,2,2,0.0,0.0,12.5,12.5
9022,1,1,0,0,0,0,2,2,0.0,0.0,13.5,13.5
9023,1,1,0,0,0,0,3,3,0.0,0.0,9.666666666666666,9.666666666666666
9024,1,1,0,0,0,0,3,3,0.0,0.0,10.666666666666666,10.666666666666666
9025,1,1,0,0,0,0,3,3,0.0,0.0,11.666666666666666,11.666666666666666
