total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
50,1,1,0,0,1,3.0,1,1.0,3,5.333333333333333,3,3.3333333333333335
51,1,1,0,0,1,2.0,1,1.0,3,6.333333333333333,4,4.333333333333333
52,1,1,0,0,0,1.0,1,1.0,3,7.333333333333333,5,4.25
53,1,1,0,0,1,0.0,0,1.0,3,8.333333333333334,5,4.4
54,1,1,0,0,0,1.0,0,0.0,3,9.333333333333334,6,5.4
55,1,1,0,0,0,0.0,0,0.0,3,10.333333333333334,6,5.5
56,1,1,0,0,0,0.0,0,0.0,3,11.333333333333334,6,6.5
57,1,1,0,0,1,0.0,0,0.0,3,12.333333333333334,6,7.5
58,1,1,0,0,0,1.0,1,0.0,3,13.333333333333334,6,8.5
59,1,1,0,0,0,0.0,0,1.0,4,14.333333333333334,6,9.5
60,1,1,0,0,0,0.0,1,0.0,4,11.75,6,10.5
61,1,1,0,0,0,0.0,0,1.0,4,12.75,6,11.5
62,1,1,0,0,1,0.0,1,0.0,4,13.75,6,12.5
63,1,1,0,0,0,1.0,1,1.0,5,14.75,6,13.5
64,0,0,1,1,1,0.0,0,1.0,5,12.8,7,14.5
65,0,0,1,1,1,1.0,0,0.0,4,13.8,6,13.428571428571429
66,0,0,1,1,1,2.0,0,0.0,4,12.5,5,13.166666666666666
67,0,0,1,1,2,3.0,0,0.0,4,7.75,4,13.0
68,0,0,1,1,3,2.5,0,0.0,3,4.25,4,12.75
69,0,0,1,1,4,2.6666666666666665,0,0.0,2,3.6666666666666665,4,9.5
70,0,0,1,1,4,3.0,0,0.0,1,3.5,4,6.25
71,0,0,1,1,5,4.0,1,0.0,1,4.0,3,3.25
72,0,0,1,1,6,4.2,1,1.0,0,1.0,3,3.0
73,0,0,1,1,6,4.5,1,2.0,0,0.0,2,2.6666666666666665
