total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
416,1,1,0,0,1,1,2,5
417,1,1,0,0,0,0,2,5
418,1,1,0,0,0,1,2,5
419,1,1,0,0,1,1,2,5
420,1,1,0,0,1,0,3,6
421,1,1,0,0,1,0,3,6
422,1,1,0,0,1,1,3,7
423,1,1,0,0,1,1,3,7
424,1,1,0,0,0,1,3,7
425,1,1,0,0,1,0,3,7
426,1,1,0,0,1,1,3,7
427,1,1,0,0,0,1,3,7
428,1,1,0,0,0,0,3,7
429,1,1,0,0,1,0,3,7
430,1,1,0,0,0,1,3,7
431,1,1,0,0,0,1,3,7
432,1,1,0,0,1,1,3,8
433,0,0,1,1,0,0,4,8
434,0,0,1,1,0,1,3,7
435,0,0,1,1,0,2,2,6
436,0,0,1,1,1,2,1,5
437,0,0,1,1,2,2,0,5
438,0,0,1,1,2,3,0,4
439,0,0,1,1,3,3,0,3
440,0,0,1,1,3,4,1,3
441,0,0,1,1,4,5,1,2
442,0,0,1,1,5,5,1,2
443,1,1,0,0,6,6,0,1
444,1,1,0,0,5,5,1,1
445,1,1,0,0,5,5,1,1
446,1,1,0,0,5,4,1,1
447,1,1,0,0,4,3,1,1
448,1,1,0,0,4,2,1,1
449,1,1,0,0,4,1,2,1
450,1,1,0,0,4,0,2,1
451,1,1,0,0,3,1,3,1
452,1,1,0,0,3,1,4,1
453,1,1,0,0,3,0,4,2
454,1,1,0,0,3,0,4,2
455,1,1,0,0,2,0,4,2
456,1,1,0,0,1,1,4,2
457,1,1,0,0,1,1,4,2
458,1,1,0,0,1,0,4,2
459,1,1,0,0,0,1,4,2
460,1,1,0,0,0,1,4,2
461,1,1,0,0,1,0,5,2
462,1,1,0,0,1,1,5,2
463,1,1,0,0,1,1,6,2
464,1,1,0,0,1,0,6,2
465,1,1,0,0,0,0,6,2
466,1,1,0,0,1,1,6,2
467,1,1,0,0,1,0,6,2
468,1,1,0,0,1,0,6,2
469,1,1,0,0,0,0,6,2
470,1,1,0,0,1,0,6,2
471,1,1,0,0,1,0,6,2
472,1,1,0,0,0,1,6,2
473,1,1,0,0,1,0,6,2
474,1,1,0,0,0,0,6,2
475,1,1,0,0,1,0,7,2
476,1,1,0,0,0,0,7,2
477,1,1,0,0,1,1,7,2
478,1,1,0,0,1,1,8,2
479,1,1,0,0,0,1,9,2
480,0,0,1,1,0,0,10,2
481,0,0,1,1,1,1,9,1
482,0,0,1,1,2,1,8,0
483,0,0,1,1,2,2,7,0
484,0,0,1,1,3,2,6,0
485,0,0,1,1,3,3,5,0
486,0,0,1,1,4,4,5,0
487,0,0,1,1,4,5,4,0
488,0,0,1,1,4,6,4,0
489,0,0,1,1,5,7,3,0
490,0,0,1,1,6,7,3,0
491,1,1,0,0,7,7,2,0
492,1,1,0,0,7,6,2,0
493,1,1,0,0,7,6,2,0
494,1,1,0,0,6,6,2,0
495,1,1,0,0,6,6,2,0
496,1,1,0,0,5,5,2,0
497,1,1,0,0,5,5,3,0
498,1,1,0,0,5,4,3,0
499,1,1,0,0,5,4,3,0
500,1,1,0,0,5,4,3,0
501,1,1,0,0,4,3,4,1
502,1,1,0,0,4,3,5,1
503,1,1,0,0,4,2,5,1
504,1,1,0,0,3,2,6,1
505,1,1,0,0,2,2,6,1
506,1,1,0,0,2,1,6,1
507,1,1,0,0,1,0,7,1
508,1,1,0,0,0,1,7,1
509,1,1,0,0,1,0,7,2
510,1,1,0,0,0,0,7,2
511,1,1,0,0,1,0,8,3
512,1,1,0,0,1,1,9,3
513,0,0,1,1,0,0,9,4
514,0,0,1,1,0,1,9,3
515,0,0,1,1,0,2,8,2
516,0,0,1,1,1,3,8,1
517,0,0,1,1,2,3,7,0
518,0,0,1,1,3,3,6,0
519,0,0,1,1,4,4,5,0
520,0,0,1,1,5,4,4,0
521,0,0,1,1,6,5,3,0
522,1,1,0,0,7,6,2,0
523,1,1,0,0,6,6,3,0
524,1,1,0,0,5,5,4,0
525,1,1,0,0,4,4,5,0
526,1,1,0,0,4,3,5,0
527,1,1,0,0,4,3,5,0
528,1,1,0,0,4,2,5,0
529,1,1,0,0,4,2,5,0
530,1,1,0,0,3,2,5,0
531,1,1,0,0,3,2,5,1
532,1,1,0,0,3,1,6,1
533,1,1,0,0,2,1,7,1
534,1,1,0,0,1,0,8,1
535,1,1,0,0,1,1,8,1
536,1,1,0,0,1,1,9,1
537,1,1,0,0,1,1,10,1
