total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
14744,1,1,0,0,7,7.5,2,11.0,0,0.0,0,0.0
14745,1,1,0,0,7,7.285714285714286,2,10.0,1,0.0,0,0.0
14746,1,1,0,0,6,6.0,1,3.5,1,1.0,0,0.0
14747,1,1,0,0,5,6.0,0,2.0,1,2.0,1,0.0
14748,1,1,0,0,4,6.2,1,0.0,1,3.0,2,1.0
14749,1,1,0,0,3,6.5,0,1.0,2,4.0,2,1.5
14750,1,1,0,0,2,6.666666666666667,0,0.0,2,3.0,2,2.5
14751,1,1,0,0,1,7.0,1,0.0,2,4.0,3,3.5
14752,1,1,0,0,0,7.0,0,1.0,3,5.0,3,3.3333333333333335
14753,1,1,0,0,0,0.0,1,0.0,3,4.333333333333333,3,4.333333333333333
14754,1,1,0,0,0,0.0,0,1.0,4,5.333333333333333,3,5.333333333333333
14755,1,1,0,0,0,0.0,0,0.0,5,5.0,4,6.333333333333333
14756,1,1,0,0,0,0.0,0,0.0,5,5.0,5,5.75
14757,1,1,0,0,1,0.0,0,0.0,6,6.0,5,5.6
14758,1,1,0,0,1,1.0,1,0.0,6,6.0,5,6.6
14759,1,1,0,0,0,1.0,1,1.0,6,7.0,5,7.6
14760,0,0,1,1,0,0.0,1,1.0,6,8.0,6,8.6
14761,0,0,1,1,0,0.0,2,1.0,6,9.0,6,8.166666666666666
14762,0,0,1,1,1,0.0,3,1.5,6,7.333333333333333,5,6.833333333333333
14763,0,0,1,1,1,1.0,3,2.0,5,6.166666666666667,4,6.4
14764,0,0,1,1,2,2.0,3,3.0,5,6.2,4,6.0
14765,0,0,1,1,2,2.0,4,4.0,5,5.2,3,4.75
14766,0,0,1,1,3,3.0,4,4.0,4,4.2,3,4.333333333333333
14767,0,0,1,1,3,3.0,4,5.0,3,4.0,2,3.3333333333333335
14768,0,0,1,1,3,4.0,4,6.0,2,4.333333333333333,2,3.0
14769,0,0,1,1,3,5.0,4,7.0,2,4.5,2,2.0
14770,0,0,1,1,3,6.0,4,8.0,1,3.0,1,1.5
14771,0,0,1,1,4,7.0,5,9.0,0,2.0,0,2.0
14772,0,0,1,1,4,6.25,6,8.2,0,0.0,1,0.0
14773,0,0,1,1,4,7.25,6,7.833333333333333,1,0.0,1,1.0
14774,0,0,1,1,4,8.25,6,8.833333333333334,0,1.0,1,1.0
14775,0,0,1,1,5,9.25,6,9.833333333333334,1,0.0,0,1.0
14776,0,0,1,1,5,8.4,6,10.833333333333334,1,1.0,0,0.0
14777,0,0,1,1,5,9.4,6,11.833333333333334,0,1.0,1,0.0
14778,1,1,0,0,5,10.4,6,12.833333333333334,0,0.0,0,1.0
14779,1,1,0,0,4,11.4,5,13.833333333333334,1,0.0,0,0.0
14780,1,1,0,0,3,11.0,4,13.8,1,1.0,0,0.0
14781,1,1,0,0,2,10.333333333333334,3,13.5,1,2.0,0,0.0
